DATE,AT,HT,WON,LOST,SOLOST,HWR,HLR,HSLR,AWR,ALR,ASLR,HW,AW,HS,AS,RES
10/24/23,COL,NYI,COL,NYI,,2,1,1,5,0,0,FALSE,TRUE,FALSE,FALSE,AW
10/24/23,SEA,DET,SEA,,DET,5,1,0,1,4,1,FALSE,FALSE,FALSE,TRUE,AS
10/24/23,BOS,CHI,BOS,CHI,,2,4,0,5,0,0,FALSE,TRUE,FALSE,FALSE,AW
10/24/23,STL,WPG,WPG,STL,,2,3,0,2,1,1,TRUE,FALSE,FALSE,FALSE,HW
10/24/23,EDM,MIN,MIN,EDM,,2,2,1,1,3,1,TRUE,FALSE,FALSE,FALSE,HW
10/24/23,VAN,NSH,VAN,NSH,,3,3,0,3,2,0,FALSE,TRUE,FALSE,FALSE,AW
10/24/23,NYR,CGY,NYR,CGY,,2,3,1,3,2,0,FALSE,TRUE,FALSE,FALSE,AW
10/24/23,ARI,LAK,LAK,ARI,,2,2,1,3,2,0,TRUE,FALSE,FALSE,FALSE,HW
10/24/23,PHI,VGK,VGK,PHI,,6,0,0,3,1,1,TRUE,FALSE,FALSE,FALSE,HW
10/25/23,WSH,NJD,WSH,NJD,,3,1,1,1,3,1,FALSE,TRUE,FALSE,FALSE,AW
10/26/23,ANA,BOS,ANA,,BOS,6,0,0,2,4,0,FALSE,FALSE,FALSE,TRUE,AS
10/26/23,SEA,CAR,CAR,,SEA,3,4,0,2,4,1,FALSE,FALSE,TRUE,FALSE,HS
10/26/23,WPG,DET,WPG,DET,,5,1,1,3,3,0,FALSE,TRUE,FALSE,FALSE,AW
10/26/23,CBJ,MTL,MTL,CBJ,,3,3,0,3,2,1,TRUE,FALSE,FALSE,FALSE,HW
10/26/23,MIN,PHI,PHI,MIN,,3,2,1,3,2,1,TRUE,FALSE,FALSE,FALSE,HW
10/26/23,COL,PIT,PIT,COL,,2,4,0,6,0,0,TRUE,FALSE,FALSE,FALSE,HW
10/26/23,SJS,TBL,TBL,SJS,,3,2,2,0,6,0,TRUE,FALSE,FALSE,FALSE,HW
10/26/23,OTT,NYI,NYI,OTT,,2,2,1,3,3,0,TRUE,FALSE,FALSE,FALSE,HW
10/26/23,TOR,DAL,TOR,DAL,,4,0,1,4,2,0,FALSE,TRUE,FALSE,FALSE,AW
10/26/23,STL,CGY,STL,CGY,,2,4,1,2,2,1,FALSE,TRUE,FALSE,FALSE,AW
10/26/23,NYR,EDM,NYR,EDM,,1,4,1,4,2,0,FALSE,TRUE,FALSE,FALSE,AW
10/27/23,CHI,VGK,CHI,,VGK,7,0,0,2,5,0,FALSE,FALSE,FALSE,TRUE,AS
